sector,monto_financiado,num_rondas,tamano_equipo,exp_fundadores,presencia_redes,ubicacion,inversores_destacados,descripcion,tiempo_fundacion,estado_operativo,viabilidad
E-commerce,155500.0,2.0,49.0,8.7,8.5,lima,0.0,equipo con 8+ años de experiencia. operando en el mercado,2016.0,activo,1
EdTech,421700.0,1.0,9.0,1.2,-6.0,Arequipa,No,operando en el mercado,2007.0,activo,1
Fintech,122400.0,5.0,17.0,2.5,77.3,Arequipa ,0.0,buena presencia en redes. operando en el mercado. tracción probada: piloto pagado en Arequipa. enfocado en Fintech con enfoque SaaS. dependencia alta de marketing pago,2019.0, activo ,1
EdTech,492200.0,4.0,35.0,6.1,23.5,Piura,0.0,equipo con 6+ años de experiencia. operando en el mercado. MVP listo y primeros beta testers. equipo parcial y tiempo limitado,2017.0,activo,0
Ai/Ml,296800.0,3.0,38.0,2.9,5.4,Lima,1.0,apoyo de inversores reconocidos. operando en el mercado. MVP listo y primeros beta testers,,activo,1
HealthTech,325800.0,0.0,39.0,,33.8,Bogotá,1.0,apoyo de inversores reconocidos. equipo con 6+ años de experiencia. operando en el mercado. sin modelo de ingresos definido,2009.0,activo,1
SaaS,76400.0,5.0,1.0,5.4,30.3,Quito,1.0,apoyo de inversores reconocidos. equipo con 5+ años de experiencia. operando en el mercado. enfocado en SaaS con enfoque app móvil,2013.0, Activo,1
EdTech,1277900.0,3.0,44.0,0.8,60.3,Santiago,0.0,financiamiento semilla cerrado. buena presencia en redes. operando en el mercado. expansión a Buenos Aires en próximos meses,2015.0,activo,1
 logistics,405500.0,5.0,29.0,6.5,21.9,Piura,0.0,equipo con 6+ años de experiencia. operando en el mercado. acuerdos B2B con 17 empresas y pipeline sólido,2018.0,activo,1
Gaming,250300.0,3.0,11.0,5.9,77.5,Bogotá,0.0,buena presencia en redes. equipo con 5+ años de experiencia. operando en el mercado. MVP listo y primeros beta testers,2008.0,ACTIVO ,0
Fintech,999900.0,0.0,19.0,4.0,40.2,Cusco,0.0,financiamiento semilla cerrado. operando en el mercado. expansión a Lima en próximos meses. dependencia alta de marketing pago,2012.0,activo,0
EdTech,226200.0,4.0,33.0,1.2,35.1,Piura ,1.0,apoyo de inversores reconocidos. tracción probada: piloto pagado en Piura. expansión a Lima en próximos meses. equipo parcial y tiempo limitado,2025.0,prototipo,1
AI/ML,322400.0,2.0,49.0,2.2,34.6, trujillo,0.0,operando en el mercado. MVP listo y primeros beta testers,2005.0,Activo ,0
Travel,716900.0,3.0,6.0,7.1,19.7,Quito,0.0,financiamiento semilla cerrado. equipo con 7+ años de experiencia. operando en el mercado. acuerdos B2B con 15 empresas y pipeline sólido. expansión a Piura en próximos meses. sin modelo de ingresos definido,2005.0,Activo,1
 Travel,USD 253.000,5.0,2.0,8.7,39.8,Quito,0.0,equipo con 8+ años de experiencia. operando en el mercado,2016.0,activo ,1
Logistics,222800.0,,12.0,2.7,34.9,Cusco,0.0,operando en el mercado. acuerdos B2B con 13 empresas y pipeline sólido. MVP listo y primeros beta testers,2022.0,activo,0
Fintech,USD 130.100,5.0,20.0,6.1,25.1,Santiago,Sí,apoyo de inversores reconocidos. equipo con 6+ años de experiencia. operando en el mercado. crecimiento mensual 18% y churn bajo. MVP listo y primeros beta testers,2021.0,activo,1
 e-commerce ,217700.0,0.0,12.0,3.8,38.1,Lima,0.0,operando en el mercado. acuerdos B2B con 10 empresas y pipeline sólido. aún sin usuarios activos,2012.0,activo,0
HealthTech,346800.0,3.0,43.0,5.0,16.0,Piura,0.0,equipo con 5+ años de experiencia. dependencia alta de marketing pago,2018-aprox,CERRADO,1
Gaming,154000.0,5.0,7.0,4.3,,Santiago,0.0,MVP listo y primeros beta testers,2022/2023,prototipo,1
E-commerce,145300.0,1.0,49.0,0.0,44.0,Arequipa,0.0,operando en el mercado. cofundadores con 1+ años de experiencia en E-commerce,2020.0,activo,0
HealthTech,155200.0,3.0,16.0,7.1,50.8,Cusco,0.0,equipo con 7+ años de experiencia. crecimiento mensual 25% y churn bajo. sin modelo de ingresos definido,2016.0, prototipo ,1
EdTech,500800.0,4.0,6.0,2.6,52.8,Buenos Aires,0.0,financiamiento semilla cerrado. operando en el mercado. enfocado en EdTech con enfoque app móvil,2013-aprox,activo,0
Gaming,168200.0,1.0,4.0,2.7,58.9,QUITO ,,apoyo de inversores reconocidos. operando en el mercado. cofundadores con 2+ años de experiencia en Gaming. expansión a Lima en próximos meses,2015.0,activo,1
AI/ML,332500.0,4.0,7.0,5.2,44.8,CDMX,0.0,equipo con 5+ años de experiencia. crecimiento mensual 24% y churn bajo. sin modelo de ingresos definido,2011/2012,prototipo,0
SaaS,224700.0,4.0,13.0,2.4,48.4,Santiago,0.0,expansión a Lima en próximos meses. equipo parcial y tiempo limitado,2014.0,Prototipo ,0
AI/ML,1351200.0,4.0,8.0,1.9,16.8,CDMX,,financiamiento semilla cerrado. operando en el mercado. MRR de $3859 con 192 clientes activos,2005.0,activo,1
